epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,3796.68,0.98995,1.27361,1.0083,0.76866,0.70356,0.74373,0.44337,1.55525,2.05485,1.26865,0.0047053,0.0047053,0.0047053
161,3820.38,0.97926,1.24684,1.0041,0.7753,0.68454,0.74693,0.44486,1.55734,2.00851,1.2738,0.004672,0.004672,0.004672
162,3844.11,0.98219,1.25357,1.00211,0.80593,0.66471,0.73836,0.44906,1.55855,2.04796,1.27053,0.0046387,0.0046387,0.0046387
163,3868.38,0.9619,1.20567,0.99929,0.79218,0.67394,0.73253,0.44025,1.56002,2.08589,1.27567,0.0046054,0.0046054,0.0046054
164,3892.06,0.9691,1.25088,1.00495,0.81083,0.64562,0.72673,0.43481,1.54899,2.08858,1.27409,0.0045721,0.0045721,0.0045721
165,3915.76,0.96608,1.22311,0.998,0.78493,0.66369,0.7376,0.44239,1.54481,2.07366,1.27219,0.0045388,0.0045388,0.0045388
166,3939.46,0.96301,1.22701,0.9981,0.81122,0.66986,0.74613,0.4479,1.54257,2.06834,1.2763,0.0045055,0.0045055,0.0045055
167,3963.1,0.95107,1.19472,0.9934,0.82609,0.6668,0.75461,0.45208,1.54509,2.04149,1.28369,0.0044722,0.0044722,0.0044722
168,3987.31,0.96276,1.2066,0.99503,0.80887,0.68102,0.75272,0.4477,1.53681,2.05365,1.26014,0.0044389,0.0044389,0.0044389
169,4010.99,0.9683,1.23224,0.99888,0.80976,0.66355,0.74695,0.44376,1.52883,2.07472,1.25863,0.0044056,0.0044056,0.0044056
170,4034.73,0.96377,1.21649,0.99787,0.79497,0.70909,0.74571,0.44319,1.52623,2.04755,1.26423,0.0043723,0.0043723,0.0043723
171,4058.43,0.95878,1.20229,0.99234,0.79495,0.69957,0.74443,0.44231,1.53331,2.05057,1.26134,0.004339,0.004339,0.004339
172,4082.09,0.95577,1.19835,0.98964,0.83595,0.6699,0.7505,0.44722,1.53116,2.05635,1.24959,0.0043057,0.0043057,0.0043057
173,4105.77,0.95073,1.2045,0.99414,0.83503,0.65528,0.73699,0.43289,1.53796,2.00668,1.26452,0.0042724,0.0042724,0.0042724
174,4129.5,0.97013,1.26252,1.00436,0.82252,0.66588,0.74646,0.45115,1.53531,2.00118,1.26705,0.0042391,0.0042391,0.0042391
175,4153.11,0.94801,1.18469,0.99147,0.84185,0.64947,0.74746,0.44759,1.53435,2.01155,1.26798,0.0042058,0.0042058,0.0042058
176,4176.82,0.95047,1.19806,0.98996,0.83347,0.64793,0.74402,0.44952,1.53733,1.99976,1.26526,0.0041725,0.0041725,0.0041725
177,4200.48,0.95687,1.22686,0.99643,0.80967,0.66196,0.74529,0.445,1.53962,2.01741,1.2694,0.0041392,0.0041392,0.0041392
178,4224.26,0.97474,1.22877,1.00295,0.79938,0.67809,0.73983,0.4431,1.53373,2.00662,1.26539,0.0041059,0.0041059,0.0041059
179,4247.94,0.96118,1.22579,0.99372,0.81563,0.67591,0.7504,0.449,1.53514,2.07381,1.26812,0.0040726,0.0040726,0.0040726
180,4271.67,0.94625,1.20094,0.98919,0.81971,0.67147,0.7469,0.44495,1.53452,2.04139,1.26073,0.0040393,0.0040393,0.0040393
